order_id,order_date,restaurant_name,delivery_zone,order_value,delivery_time_mins,rider_rating,order_status,payment_method,discount_applied,customer_complaints,cancel_probability,cancel_risk
ORD00063,3/9/2024,Spice Garden,Central,1709,16.0,3.1,Delivered,Wallet,18,2,0.2,low
ORD00064,12/17/2024,Burger Hub,Central,1721,30.0,3.0,Delayed,Wallet,23,0,0.4,low
ORD00065,5/9/2024,Sushi Bay,North,664,78.0,3.9,Delivered,Cash,2,0,0.62,high
ORD00066,2/12/2024,Pizza Palace,East,511,67.0,3.5,Delayed,UPI,9,0,0.19,low
ORD00067,12/8/2024,Spice Garden,West,1140,71.0,2.0,Cancelled,Cash,26,3,0.83,high
ORD00068,7/5/2024,Wrap & Roll,North,272,38.0,3.1,Refunded,Cash,30,3,0.27,low
ORD00069,5/8/2024,Burger Hub,South,480,20.0,3.9,Refunded,Wallet,2,1,0.34,low
ORD00070,9/16/2024,Sushi Bay,South,939,27.0,2.2,Delivered,UPI,21,0,0.15,low
ORD00071,7/16/2024,Pizza Palace,North,1694,37.0,4.4,Delayed,Wallet,19,0,0.32,low
ORD00072,3/4/2024,Sushi Bay,North,1503,39.0,4.7,Refunded,Wallet,17,0,0.15,low
ORD00073,12/27/2024,Pizza Palace,North,1263,50.0,4.8,Refunded,Cash,8,3,0.3,low
ORD00074,10/19/2024,Wrap & Roll,North,266,87.0,4.2,Cancelled,Cash,0,2,0.81,high
ORD00075,4/7/2024,Burger Hub,East,1496,64.0,4.5,Delivered,Card,15,0,0.14,low
ORD00076,8/5/2024,Pizza Palace,North,1251,55.0,2.8,Refunded,Card,30,1,0.2,low
ORD00077,10/13/2024,Spice Garden,South,362,44.0,3.3,Delivered,Card,19,2,0.12,low
ORD00078,6/1/2024,Burger Hub,East,824,34.0,4.4,Delivered,UPI,30,3,0.02,low
ORD00079,12/12/2024,Sushi Bay,North,1102,79.0,2.9,Delayed,Cash,3,3,0.57,high
ORD00080,11/11/2024,Spice Garden,Central,150,62.0,3.7,Cancelled,Wallet,25,3,0.82,high
ORD00081,9/6/2024,Burger Hub,East,1657,29.0,4.7,Delivered,UPI,24,1,0.03,low
ORD00082,10/6/2024,Burger Hub,Central,618,74.0,2.1,Cancelled,Wallet,13,0,0.84,high
ORD00083,12/2/2024,Sushi Bay,West,777,73.0,2.7,Delayed,Cash,25,0,0.53,low
ORD00084,12/2/2024,Spice Garden,North,1518,18.0,2.6,Refunded,Wallet,26,1,0.38,low
ORD00085,3/1/2024,Sushi Bay,Central,1495,63.0,2.7,Cancelled,Wallet,19,0,0.88,high
ORD00086,10/15/2024,Sushi Bay,Central,583,20.0,4.9,Delivered,Card,14,2,0.1,low
ORD00087,3/20/2024,Wrap & Roll,North,293,87.0,4.5,Cancelled,Wallet,0,1,0.77,high
ORD00088,1/26/2024,Sushi Bay,Central,423,72.0,4.5,Delayed,Cash,20,3,0.8,high
ORD00089,2/10/2024,Pizza Palace,East,432,27.0,4.9,Delivered,Wallet,12,0,0.13,low
ORD00090,9/20/2024,Sushi Bay,East,972,49.0,3.4,Delivered,Card,13,3,0.1,low
ORD00091,12/14/2024,Sushi Bay,Central,1204,60.0,5.0,Cancelled,Cash,1,3,0.96,high
ORD00092,8/13/2024,Burger Hub,Central,683,87.0,3.8,Delayed,Wallet,25,3,0.81,high
ORD00093,1/9/2024,Pizza Palace,West,739,44.0,3.6,Delayed,UPI,29,3,0.16,low
ORD00094,1/9/2024,Spice Garden,North,435,83.0,4.3,Refunded,Cash,12,1,0.41,low
ORD00095,8/7/2024,Sushi Bay,East,1524,66.0,2.1,Delivered,Wallet,30,1,0.36,low
ORD00096,3/12/2024,Burger Hub,North,911,61.0,2.4,Delayed,Cash,19,2,0.47,low
ORD00097,10/25/2024,Pizza Palace,West,324,28.0,2.7,Refunded,Cash,21,2,0.19,low
ORD00098,10/5/2024,Pizza Palace,West,467,21.0,2.9,Refunded,Wallet,14,0,0.22,low
ORD00099,7/9/2024,Pizza Palace,East,712,55.0,2.7,Delayed,UPI,18,3,0.17,low
ORD00100,5/2/2024,Burger Hub,West,453,80.0,4.7,Delayed,UPI,9,0,0.45,low
ORD00101,7/28/2024,Sushi Bay,South,1044,60.0,2.6,Refunded,Wallet,6,1,0.49,low
ORD00102,10/6/2024,Pizza Palace,South,1355,17.0,4.3,Cancelled,UPI,16,3,0.69,high
ORD00103,8/13/2024,Wrap & Roll,North,1574,74.0,2.2,Refunded,UPI,5,3,0.67,high
ORD00104,5/5/2024,Wrap & Roll,West,880,39.0,2.5,Delayed,Card,18,1,0.37,low
ORD00105,4/12/2024,Burger Hub,Central,1195,67.0,3.2,Delivered,Card,6,3,0.32,low
ORD00106,3/2/2024,Pizza Palace,East,1377,60.0,2.3,Delivered,Wallet,6,1,0.1,low
ORD00107,6/27/2024,Spice Garden,West,905,21.0,2.6,Delayed,Cash,17,1,0.47,low
ORD00108,5/14/2024,Sushi Bay,South,1245,28.0,5.0,Delayed,Wallet,26,2,0.14,low
ORD00109,9/16/2024,Spice Garden,West,1260,57.0,4.5,Delivered,Cash,28,0,0.34,low
ORD00110,5/10/2024,Wrap & Roll,North,983,85.0,4.5,Refunded,Card,8,0,0.71,high
ORD00111,3/7/2024,Burger Hub,East,174,39.0,3.0,Refunded,Card,21,2,0.27,low
ORD00112,6/8/2024,Spice Garden,East,1189,80.0,4.2,Refunded,Card,7,0,0.41,low
ORD00113,10/20/2024,Sushi Bay,East,149,76.0,2.4,Delayed,UPI,7,2,0.51,low
ORD00114,4/20/2024,Wrap & Roll,North,837,39.0,3.3,Delayed,UPI,8,1,0.21,low
ORD00115,1/28/2024,Pizza Palace,Central,856,84.0,4.7,Cancelled,UPI,8,0,0.76,high
ORD00116,2/14/2024,Sushi Bay,Central,316,30.0,5.0,Cancelled,UPI,1,0,0.76,high
ORD00117,5/28/2024,Spice Garden,South,1278,68.0,2.4,Cancelled,Cash,11,1,0.79,high
ORD00118,3/15/2024,Wrap & Roll,South,225,43.0,2.4,Delayed,Cash,16,1,0.22,low
ORD00119,4/1/2024,Pizza Palace,South,772,45.0,3.9,Refunded,Card,3,1,0.32,low
ORD00120,4/16/2024,Pizza Palace,South,419,36.0,2.0,Delivered,UPI,4,2,0.16,low
ORD00121,5/11/2024,Burger Hub,North,278,20.0,4.6,Delivered,Wallet,12,2,0.18,low
ORD00122,7/14/2024,Wrap & Roll,East,1646,53.0,4.4,Refunded,Card,6,3,0.23,low
ORD00123,4/12/2024,Pizza Palace,East,1033,76.0,3.3,Delivered,Cash,12,0,0.2,low
ORD00124,8/11/2024,Sushi Bay,North,674,58.0,4.7,Delayed,Wallet,11,1,0.33,low
ORD00125,3/4/2024,Spice Garden,South,282,33.0,3.8,Delivered,UPI,10,0,0.12,low
ORD00126,2/7/2024,Burger Hub,South,697,67.0,4.6,Delivered,Cash,30,3,0.25,low
ORD00127,5/7/2024,Burger Hub,East,1501,36.0,4.3,Delivered,UPI,17,3,0.04,low
ORD00128,1/4/2024,Sushi Bay,East,977,55.0,5.0,Cancelled,UPI,13,3,0.71,high
ORD00129,2/3/2024,Sushi Bay,West,1466,40.0,2.2,Delivered,Wallet,6,3,0.13,low
ORD00130,10/8/2024,Spice Garden,South,434,51.0,3.7,Cancelled,Wallet,22,3,0.73,high
ORD00131,6/6/2024,Sushi Bay,North,1205,50.0,4.8,Delivered,Cash,17,3,0.1,low
ORD00132,7/4/2024,Spice Garden,South,749,67.0,4.0,Delivered,UPI,9,1,0.65,high
ORD00133,8/6/2024,Sushi Bay,Central,400,44.0,3.6,Delivered,UPI,8,0,0.38,low
ORD00134,8/14/2024,Pizza Palace,West,741,43.0,4.6,Refunded,Cash,0,2,0.3,low
ORD00135,3/10/2024,Pizza Palace,South,1126,89.0,3.3,Cancelled,Card,5,3,0.77,high
ORD00136,5/15/2024,Sushi Bay,West,404,38.0,2.4,Refunded,UPI,14,0,0.09,low
ORD00137,3/3/2024,Burger Hub,East,1434,39.0,2.9,Cancelled,Card,26,2,0.02,low
ORD00138,8/9/2024,Spice Garden,East,178,73.0,3.9,Cancelled,Card,30,2,0.78,high
ORD00139,3/28/2024,Burger Hub,Central,496,59.0,3.5,Delayed,Cash,13,3,0.73,high
ORD00140,1/11/2024,Spice Garden,East,1349,37.0,2.2,Delivered,Wallet,24,1,0.12,low
ORD00141,1/28/2024,Wrap & Roll,Central,767,76.0,3.3,Cancelled,UPI,11,0,0.88,high
ORD00142,8/14/2024,Burger Hub,Central,1797,81.0,4.2,Cancelled,UPI,0,2,0.86,high
ORD00143,6/15/2024,Pizza Palace,Central,1660,36.0,2.7,Delayed,UPI,11,0,0.42,low
ORD00144,6/18/2024,Sushi Bay,West,662,54.0,3.4,Delivered,Card,11,0,0.14,low
ORD00145,2/10/2024,Spice Garden,South,930,54.0,3.3,Cancelled,Card,4,0,0.86,high
ORD00146,12/9/2024,Wrap & Roll,West,438,82.0,4.8,Cancelled,UPI,17,0,0.8,high
ORD00147,5/22/2024,Pizza Palace,South,123,80.0,3.9,Delivered,UPI,5,3,0.22,low
ORD00148,11/6/2024,Wrap & Roll,North,775,31.0,2.8,Delivered,UPI,25,1,0.14,low
ORD00149,12/13/2024,Sushi Bay,North,772,27.0,4.4,Refunded,Card,9,3,0.07,low
ORD00150,5/25/2024,Burger Hub,Central,1800,71.0,2.3,Delayed,Card,11,0,0.73,high
